fav_number,statuses_count,followers_count,friends_count,favourites_count,listed_count,lang,label
58,371,413,70,9,6,6,0
8304,752,39,113,0,0,6,0
16494,1771,29,228,4,0,6,0
9,150,10,74,1,0,6,0
1094,1421,30,84,121,0,6,0
54,242,10,63,36,0,6,0
30,5804,562,626,29,1,6,0
12951,3797,570,576,306,3,6,0
102,3980,625,268,267,8,6,0
52,138,105,48,4,2,6,0
1,2222,159,227,69,0,6,0
0,3569,127,290,4,3,6,0
851,606,46,201,37,0,6,0
2725,12826,5109,63,1890,54,2,0
751,975,35,104,0,1,6,0
2,3119,426,653,344,1,6,0
6,16432,1119,1529,2215,13,6,0
2316,154,45,94,6,0,2,0
181,493,300,310,3,6,6,0
0,16601,211,172,806,0,6,0
0,104,11,75,0,0,6,0
90,222,125,300,20,0,6,0
1032,244,18,40,112,0,6,0
642,3134,162,369,422,5,6,0
1928,441,36,166,0,0,6,0
304,226,40,114,45,0,6,0
15,241,21,137,8,0,6,0
3371,4111,314,338,47,8,6,0
0,2060,100,164,19,0,6,0
245,758,102,254,2,2,2,0
12,293,0,109,134,0,6,0
0,21,12,106,0,0,6,0
9968,2168,93,360,757,0,6,0
86,2893,160,227,71,4,6,0
1,22679,560,661,381,7,6,0
1669,173,12,41,2,0,6,0
27220,1117,45,141,9,0,6,0
460,1451,183,495,8,0,6,0
26721,1425,83,70,616,1,2,0
37,882,147,296,46,5,6,0
1259,141,78,170,17,1,6,0
785,478,34,77,2,0,2,0
0,6532,181,237,70,1,6,0
31477,604,80,206,0,0,6,0
0,272,106,232,106,0,6,0
0,9410,577,776,448,7,6,0
606,59,6,76,8,0,6,0
2394,1945,75,384,14,0,6,0
0,460,99,341,15,0,6,0
44214,2312,394,498,906,2,6,0
23317,632,31,99,203,0,2,0
183,6124,656,241,939,1,6,0
2130,1550,256,490,176,0,6,0
0,506,106,168,6,0,6,0
202,40586,640,622,1118,32,2,0
559,4447,160,167,3411,1,6,0
0,3316,378,662,3,4,6,0
7,3366,78,215,6,0,6,0
3901,3603,138,179,53,1,6,0
0,285,55,221,10,0,6,0
6528,1048,314,659,139,1,6,0
1854,1183,7,87,21,0,6,0
1900,9686,208,196,219,4,6,0
1,2500,90,137,504,1,6,0
817,294,42,81,13,0,2,0
244,2064,238,590,26,5,6,0
1,293,42,139,0,0,6,0
5,6378,1531,1991,0,22,6,0
102865,6720,287,671,1597,0,6,0
675,113,104,369,0,1,6,0
4,854,37,260,26,0,6,0
24185,1587,57,276,84,2,2,0
1,865,371,300,236,0,6,0
888,1148,92,540,470,0,6,0
415,293,57,53,2,2,6,0
5,861,32,93,2,1,6,0
9145,883,1047,1516,7,10,6,0
213,1799,97,348,36,1,6,0
2713,5369,300,102,28,3,6,0
3013,7739,321,305,61,2,6,0
2385,259,145,159,1,0,6,0
262,593,193,879,16,0,6,0
142,8784,353,582,37,3,6,0
3394,2069,131,356,336,2,6,0
638,3046,67,94,5,2,6,0
9406,123,13,129,1,0,6,0
207,2576,63,83,448,1,6,0
0,509,120,100,6,1,6,0
521,802,44,63,29,0,6,0
0,709,248,707,12,2,6,0
3312,1748,110,240,253,1,6,0
18334,1315,71,107,83,0,6,0
8,184,41,140,21,0,2,0
1741,74,16,42,88,0,2,0
0,1544,61,160,731,0,6,0
2,20,21,79,0,1,6,0
1933,30,28,88,0,0,6,0
554,1476,125,187,0,0,6,0
2995,612,29,142,32,0,6,0
3148,4855,893,2000,102,2,6,0
0,13511,1103,1999,1069,14,6,0
337,939,114,162,980,1,6,0
18,5036,178,901,1057,1,6,0
4,3397,173,390,3,2,2,0
10849,1487,94,107,332,1,6,0
4481,174,34,109,1,0,6,0
4346,1263,53,128,89,0,6,0
3761,246,14,141,0,0,6,0
44,78,57,207,3,0,6,0
572,1102,189,164,3,1,6,0
7745,79,16,75,10,0,6,0
9716,273,99,239,11,0,6,0
0,24057,1076,840,69,36,6,0
3737,8685,670,967,464,6,6,0
825,834,102,252,15,0,6,0
66214,344,24,99,14,0,6,0
7696,4024,264,87,323,16,2,0
4122,1183,128,168,2,5,2,0
3955,101,22,29,3,0,6,0
2,3074,445,618,501,11,3,0
306,33,28,168,64,0,6,0
1,3,2,4,0,0,6,0
10158,2396,46,68,154,0,6,0
384,1138,33,99,27,0,6,0
5601,1294,254,276,89,8,6,0
12237,863,243,904,5,1,6,0
18,239,732,1970,0,7,6,0
1265,1396,175,327,68,4,2,0
146,92,24,118,4,0,6,0
13,395,33,97,2,0,6,0
3826,1669,74,166,60,1,6,0
363,2464,124,186,645,2,6,0
13968,859,39,218,1,0,6,0
0,495,34,68,5,0,2,0
1051,5876,616,647,1061,29,6,0
1095,1257,160,243,259,1,6,0
8434,108,13,28,2,0,6,0
4561,4149,279,64,20,22,2,0
38680,3902,290,347,918,12,6,0
192,8707,1053,448,400,30,6,0
16836,493,47,80,24,0,6,0
1748,534,117,153,25,2,6,0
5669,1407,263,414,72,4,6,0
34,2185,74,345,32,1,2,0
556,87,19,46,66,0,6,0
6840,6765,147,283,1005,0,6,0
450,3763,1169,1642,32,7,6,0
7386,3177,138,158,51,0,6,0
378,18600,1533,996,4875,17,6,0
85,15365,3813,1505,550,63,2,0
219586,1906,381,1428,30,0,6,0
153,69,40,56,0,0,6,0
8390,1236,437,1328,3049,0,6,0
18,42,18,18,6,0,6,0
3166,2854,362,342,307,4,6,0
1463,186,40,152,0,0,2,0
3316,660,757,263,34,22,6,0
508,1133,106,242,99,0,6,0
23,1924,62,157,426,1,6,0
5,4504,161,403,163,1,6,0
219,45,153,36,1,4,6,0
216,4388,96,114,53,2,6,0
729,622,106,203,63,4,6,0
1628,3720,179,154,6,2,2,0
541,1343,41,45,5,0,6,0
267,971,48,112,8,1,6,0
4,4001,639,355,894,1,6,0
0,612,131,85,1,0,6,0
2760,1570,243,761,388,9,2,0
8,4190,140,190,46,0,2,0
366,8679,274,251,257,37,2,0
1,948,66,236,0,1,6,0
995,713,43,77,0,0,6,0
0,650,18,106,74,0,6,0
329,2617,128,324,63,3,6,0
8026,39,31,51,4,0,6,0
0,160,23,227,1,0,2,0
711,1122,300,951,8,6,6,0
0,500,187,186,17,1,6,0
6798,3199,111,216,289,7,2,0
0,312,76,275,4,1,6,0
313,2275,165,285,181,4,2,0
7976,668,38,71,204,0,6,0
1269,88,16,121,0,0,6,0
33118,2277,85,152,7,1,6,0
5,25,15,44,7,0,6,0
616,34,72,123,3,0,6,0
184,268,120,429,76,0,2,0
7351,709,116,112,124,2,6,0
2613,5687,390,558,1046,7,6,0
0,482,26,73,5,0,6,0
65914,3412,10116,246,198,0,6,0
14992,6131,488,366,1058,10,6,0
1,2882,63,428,8,2,6,0
316,120,119,147,1,0,6,0
0,24423,1057,1433,1834,16,6,0
33,4288,126,199,5,1,2,0
5831,360,95,213,1,0,6,0
0,887,547,1416,179,2,6,0
0,225,77,178,219,1,6,0
0,3551,45,29,27,2,6,0
110,6475,438,938,983,3,6,0
366,4736,414,1196,166,2,6,0
2008,323,33,197,1,0,6,0
165,1048,27,94,17,0,6,0
5473,145,21,85,1,0,6,0
299,1030,369,202,1,13,6,0
0,595,102,219,19,2,6,0
246,30547,445,489,304,16,2,0
190,1688,640,1448,23,1,6,0
30896,315,25,31,4,0,6,0
339,767,124,237,1,1,6,0
1066,622,49,218,7,1,6,0
201,790,69,220,75,0,6,0
6432,4198,319,298,2720,1,6,0
362,263,79,286,11,1,6,0
9905,32448,1330,1609,834,23,6,0
119,549,123,213,2,0,2,0
868,897,17,90,0,0,6,0
650,504,133,270,1,3,6,0
18,112,154,257,0,1,2,0
102,611,87,173,1,1,6,0
6,919,82,371,264,0,6,0
398,1066,239,775,61,0,6,0
801,28,19,253,12,0,2,0
8,468,5,12,1,0,6,0
24,919,15,90,3,0,1,0
423,386,88,205,25,1,6,0
193,728,120,406,16,1,6,0
4085,5109,246,408,469,0,6,0
901,10451,1265,323,38,24,6,0
0,208,25,91,50,0,6,0
5,892,37,660,1,0,6,0
3576,648,95,89,59,3,6,0
40733,926,57,266,139,1,6,0
311,1455,33,85,2,0,6,0
0,174,54,112,5,2,6,0
24,2538,199,188,473,0,2,0
22369,37,20,142,4,0,6,0
0,484,232,431,10,0,2,0
3,34917,1161,194,2,28,2,0
6084,229,22,107,1,0,6,0
0,1805,258,191,4,14,2,0
8,6566,313,646,135,8,6,0
24,1190,88,198,43,0,6,0
440,587,115,243,48,1,6,0
35,682,39,124,12,0,6,0
2649,322,72,200,0,0,6,0
3527,634,430,546,5,3,6,0
32,8021,1082,1225,142,0,6,0
246,741,295,499,130,0,6,0
2189,279,96,1027,4,0,6,0
583,6573,271,280,1143,4,6,0
3622,3597,111,209,1,1,6,0
1211,1138,65,115,2,1,6,0
5288,191,109,932,246,0,6,0
0,1201,103,182,5,0,6,0
54,3152,162,352,23,7,6,0
6371,301,49,84,95,0,6,0
1319,17,22,59,2,0,6,0
606,80,22,69,21,0,6,0
384,1940,136,182,124,2,6,0
27753,1672,627,1089,11,4,6,0
432,14246,932,781,4047,30,6,0
0,9802,349,337,896,2,6,0
3,1539,205,397,36,1,6,0
16970,1205,233,40,29,1,6,0
85667,4418,111,282,146,1,6,0
631,3885,2812,1988,966,45,6,0
177,10,8,42,0,0,6,0
1,2511,66,58,0,0,6,0
62,835,111,768,36,0,6,0
140,3209,1193,1987,12,8,6,0
0,159,27,255,2,0,2,0
55,22534,715,792,141,2,6,0
3115,10947,760,712,693,27,6,0
3669,4775,209,1163,8,2,6,0
948,4212,130,75,153,0,6,0
510,76,30,96,8,0,6,0
90,178,40,248,24,0,6,0
19654,144,58,194,67,0,6,0
3843,112,12,38,111,0,6,0
1874,664,51,38,38,0,6,0
1,16722,751,1953,1740,10,6,0
5,1124,166,1440,91,0,6,0
729,349,51,176,98,0,6,0
68,26,11,93,2,0,6,0
1386,956,23,212,7,0,6,0
0,343,11,24,4,0,6,0
0,16195,5027,5530,6698,73,6,0
223,741,311,904,62,3,6,0
